AccountName,PatronStatus
Anthony Smith,officer
Eric Brose,officer
Gabriel Cain,officer
Angela Knapton,officer
Bruce Bursten,board
Kirk A. Carter,board
Mary Fletcher,ex-board
Alvin Gomez,board
Aldo Garcia Guevara,board
Emily G. Holdstein,board
Bonnie Johnson,board
Christine Keller,board
Alice Lambert,board
Jeffrey Levine,board
Meredith Lord,board
Cynthia Pitcher,ex-board
Margaret Pottle,board
Osman Bilsel,board
Kenneth Prince,board
William Hoffman,board
Kathleen Rooney,ex-board
Bob Sorrenti,board
Wakana Suzuki,board
Virginia M. Vaughan,board
Patricia Verderese,board
Karen-Louise Walker,board
Margaret Wong,board
Jeffrey Jensen Arnett,corporator
Janet Amorello,corporator
Richard Ardizzone,corporator
Wendy W. Ardizzone,corporator
Kay Bassett,corporator
Samyabrata Bhaduri,corporator
Elizabeth Blodgett,corporator
Karmen Bogdesic,corporator
Abigail Borchelt,corporator
Karin Branscombe,corporator
Eleanor Brockway,corporator
Linda Chadwick,corporator
Melvin S. Cutler,corporator
Jennifer D’Amico O’Connor,corporator
Geoffrey Dancey,corporator
Dix F. Davis,corporator
Minjin Fromm,corporator
Janice Fuller,corporator
Mark Georgeson,corporator
Ivan R. Green,corporator
Joel P. Greene,corporator
Phyllis Harrington,corporator
John B. Hench,corporator
Susan Henry,corporator
Janice C. Hitzhusen,corporator
Tay Ann Jay,corporator
Kallin Johnson,corporator
Barbara C. Kohin,corporator
Shirish Korde,corporator
Helen P. Koskinas,corporator
Catherine H. Levine,corporator
Otti Levine,corporator
Ingrid Mach,corporator
Michael D. Machnowski,corporator
Aparna Mahadev,corporator
Samantha McDonald,corporator
W. Peter Metz,corporator
Erwin H. Miller,corporator
Zenya Molnar,corporator
Susan Moran,corporator
Mahroo T. Morgan,corporator
Charisse Murphy,corporator
Cecilio Orta,corporator
Robert Ozmun,corporator
Matthew W. Panagiotu,corporator
Martha Pappas,corporator
Stephen M. Pitcher,corporator
Gail T. Randall,corporator
Ann-Cathrine Rapp,corporator
Zelda Schwartz,corporator
"Mark Seeley, Esq.",corporator
Janice Seymour,corporator
Gloria Shahin,corporator
Michael Sleeper,corporator
Mark Spuria,corporator
Joyce Tamer,corporator
George W. Tetler,corporator
Kristin Waters,corporator
Charles “Chick” Weiss,corporator
Todd H. Wetzel,corporator
